,dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
113,2021-06-19,1508.36,660,kcal,229,60,14,8
114,2021-06-20,1365.94,660,kcal,235,60,16,8
115,2021-06-21,999.265,660,kcal,171,60,14,8
116,2021-06-22,1032.24,660,kcal,160,60,12,8
117,2021-06-23,1105.37,660,kcal,142,60,14,8
118,2021-06-24,986.177,660,kcal,162,60,16,8
119,2021-06-25,876.284,660,kcal,140,60,17,8
120,2021-06-26,1438.69,660,kcal,222,60,15,8
121,2021-06-27,1605.09,660,kcal,226,60,16,8
122,2021-06-28,884.704,660,kcal,160,60,14,8
123,2021-06-29,1164.31,660,kcal,187,60,17,8
124,2021-06-30,1030.66,660,kcal,165,60,16,8
125,2021-07-01,1085.01,660,kcal,141,60,17,8
126,2021-07-02,1023.54,660,kcal,176,60,16,8
127,2021-07-03,1223.32,660,kcal,186,60,17,8
128,2021-07-04,1488.49,660,kcal,231,60,14,8
129,2021-07-05,889.369,660,kcal,163,60,15,8
130,2021-07-06,1305.25,660,kcal,175,60,16,8
131,2021-07-07,963.128,660,kcal,140,60,17,8
132,2021-07-08,1147.26,660,kcal,202,60,15,8
133,2021-07-09,1190.9,660,kcal,141,60,16,8
134,2021-07-10,1551.6,660,kcal,162,60,16,8
135,2021-07-11,1148.05,660,kcal,132,60,16,8
136,2021-07-12,1259.39,660,kcal,182,60,17,8
137,2021-07-13,1068.47,660,kcal,125,60,17,8
138,2021-07-14,1025.89,660,kcal,199,60,15,8
139,2021-07-15,1109.06,660,kcal,209,60,16,8
140,2021-07-16,935.45,660,kcal,104,60,17,8
141,2021-07-17,1537.26,660,kcal,167,60,18,8
142,2021-07-18,1470.98,660,kcal,173,60,16,8
143,2021-07-19,1061.83,660,kcal,184,60,14,8
144,2021-07-20,1183.78,660,kcal,154,60,16,8
145,2021-07-21,1039.72,660,kcal,174,60,16,8
146,2021-07-22,1421.1,660,kcal,218,60,17,8
147,2021-07-23,2209.03,660,kcal,348,60,15,8
148,2021-07-24,1867.87,660,kcal,327,60,16,8
149,2021-07-25,1473.02,660,kcal,231,60,18,8
150,2021-07-26,942.342,660,kcal,154,60,17,8
151,2021-07-27,1211.27,660,kcal,164,60,14,8
152,2021-07-28,1041.04,660,kcal,148,60,16,8
153,2021-07-29,912.851,660,kcal,161,60,16,8
154,2021-07-30,1125.35,660,kcal,178,60,15,8
155,2021-07-31,1643.06,660,kcal,241,60,16,8
156,2021-08-01,1245.09,660,kcal,218,60,16,8
157,2021-08-02,1024.96,660,kcal,183,60,16,8
158,2021-08-03,1149.46,660,kcal,187,60,17,8
159,2021-08-04,1154.62,660,kcal,196,60,13,8
160,2021-08-05,1068.27,660,kcal,183,60,13,8
161,2021-08-06,1120.76,660,kcal,171,60,16,8
162,2021-08-07,1497.83,660,kcal,199,60,16,8
163,2021-08-08,1249.44,660,kcal,192,60,16,8
164,2021-08-09,983.65,660,kcal,154,60,17,8
165,2021-08-10,949.021,660,kcal,149,60,15,8
166,2021-08-11,889.72,660,kcal,144,60,14,8
167,2021-08-12,1035.69,660,kcal,152,60,15,8
168,2021-08-13,1087.22,660,kcal,165,60,17,8
169,2021-08-14,1237.2,660,kcal,169,60,16,8
170,2021-08-15,1291.02,660,kcal,205,60,15,8
171,2021-08-16,825.238,660,kcal,134,60,14,8
172,2021-08-17,1041.38,660,kcal,160,60,18,8
173,2021-08-18,999.368,660,kcal,149,60,16,8
174,2021-08-19,916.531,660,kcal,136,60,14,8
175,2021-08-20,1005.81,660,kcal,164,60,14,8
176,2021-08-21,1364.59,660,kcal,153,60,17,8
177,2021-08-22,1649.66,660,kcal,265,60,17,8
178,2021-08-23,1285.48,660,kcal,174,60,16,8
179,2021-08-24,1097.03,660,kcal,173,60,17,8
180,2021-08-25,1208.39,660,kcal,176,60,17,8
181,2021-08-26,1052.11,660,kcal,180,60,15,8
182,2021-08-27,1149.85,660,kcal,199,60,16,8
183,2021-08-28,1521.86,660,kcal,202,60,15,8
184,2021-08-29,1478.21,660,kcal,240,60,16,8
185,2021-08-30,1043.14,660,kcal,152,60,15,8
186,2021-08-31,1114.36,660,kcal,166,60,17,8
187,2021-09-01,975.038,660,kcal,137,60,17,8
188,2021-09-02,1499.66,660,kcal,241,60,16,8
189,2021-09-03,1140.54,660,kcal,171,60,17,8
190,2021-09-04,1313.9,660,kcal,160,60,16,8
191,2021-09-05,1697.45,660,kcal,291,60,15,8
192,2021-09-06,1011.55,660,kcal,161,60,18,8
193,2021-09-07,1001.46,660,kcal,161,60,15,8
194,2021-09-08,1074.56,660,kcal,181,60,18,8
195,2021-09-09,1063.04,660,kcal,161,60,16,8
196,2021-09-10,1045.4,660,kcal,164,60,14,8
197,2021-09-11,1733.94,660,kcal,264,60,16,8
198,2021-09-12,1547.61,660,kcal,252,60,16,8
